isco08,ind_type,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
OC264_265,Y15_29,PC,NL	22 	22 	19 	21 	19 	18 b	17 	20 
OC264_265,Y15_29,PC,NO	18 	17 	19 	17 	18 	22 	20 	20 
OC264_265,Y15_29,PC,PL	17 u	15 u	16 u	21 	25 	23 	21 	23 
OC264_265,Y15_29,PC,PT	17 	19 	: u	: u	: u	: u	: u	: u
OC264_265,Y15_29,PC,RO	21 u	: u	: u	: u	26 u	: u	: u	: u
OC264_265,Y15_29,PC,RS	18 	20 	14 u	16 	13 b	16 u	: 	: 
OC264_265,Y15_29,PC,SE	18 	17 	18 	19 	18 	19 	16 	15 
OC264_265,Y15_29,PC,SI	14 u	7 u	10 u	11 u	12 u	14 u	15 u	23 u
OC264_265,Y15_29,PC,SK	23 u	: u	: u	: u	24 u	: u	23 u	31 
OC264_265,Y15_29,PC,TR	33 	30 	33 	28 	39 b	28 	35 b	41 
OC264_265,Y15_29,PC,UK	18 	20 	20 	19 	20 	17 	20 	17 
TOTAL,EMP_FT,PC,AT	72 	71 	71 	72 	72 	73 	74 	75 
TOTAL,EMP_FT,PC,BE	75 b	75 b	75 	75 	76 	75 	75 b	75 
TOTAL,EMP_FT,PC,BG	98 	98 	98 	98 	97 	97 	98 	98 
TOTAL,EMP_FT,PC,CH	61 	61 	61 	62 	62 	63 	64 	65 
TOTAL,EMP_FT,PC,CY	88 	87 	86 	86 b	86 	87 	89 	90 
TOTAL,EMP_FT,PC,CZ	93 	93 	93 	94 	94 	93 	94 	95 
TOTAL,EMP_FT,PC,DE	72 	72 	72 	72 	72 	72 	73 b	73 
TOTAL,EMP_FT,PC,DK	74 	74 b	73 b	75 	75 	75 	74 	74 
TOTAL,EMP_FT,PC,EE	88 	89 	89 	89 	90 	90 	90 	89 
TOTAL,EMP_FT,PC,EL	91 	90 	90 	91 	91 	92 	92 	93 
TOTAL,EMP_FT,PC,ES	85 	85 	85 	84 	84 	84 	86 	86 
TOTAL,EMP_FT,PC,EU28	80 	80 	80 	80 	80 	80 	80 	81 
TOTAL,EMP_FT,PC,FI	83 	84 	84 	85 	85 	85 	85 	85 
TOTAL,EMP_FT,PC,FR	82 	81 	81 	81 	81 b	82 b	82 	82 
TOTAL,EMP_FT,PC,HR	94 	94 	93 	93 	94 	94 	93 	91 
TOTAL,EMP_FT,PC,HU	95 	95 	95 	94 	94 	93 	93 	93 
TOTAL,EMP_FT,PC,IE	80 	79 b	77 	77 	77 	76 	76 	76 
TOTAL,EMP_FT,PC,IS	78 	76 	75 	76 	76 	79 	79 	79 
TOTAL,EMP_FT,PC,IT	81 	81 b	81 	82 	82 	82 	83 	85 
TOTAL,EMP_FT,PC,LT	92 	91 	92 	92 	91 	91 	91 	91 
TOTAL,EMP_FT,PC,LU	82 	80 	81 	81 b	81 	81 	81 	82 
TOTAL,EMP_FT,PC,LV	92 	92 	91 	92 	93 	92 	91 	91 
TOTAL,EMP_FT,PC,ME	95 	94 	95 	94 	94 	97 	96 	96 
TOTAL,EMP_FT,PC,MK	96 	96 	95 	96 	94 	95 	94 	94 
TOTAL,EMP_FT,PC,MT	86 	85 b	85 	85 	84 	85 	86 	87 
TOTAL,EMP_FT,PC,NL	49 	49 	50 	49 	50 	49 b	50 	51 
TOTAL,EMP_FT,PC,NO	73 	74 	73 	73 	73 	72 	72 	72 
TOTAL,EMP_FT,PC,PL	93 	93 	93 	93 	92 	92 	92 	92 
TOTAL,EMP_FT,PC,PT	90 	89 	88 	88 	87 	86 	85 	86 
TOTAL,EMP_FT,PC,RO	93 	92 	91 	90 	90 	90 	90 	89 
TOTAL,EMP_FT,PC,RS	89 	88 	87 	88 	88 b	89 	92 	91 
TOTAL,EMP_FT,PC,SE	75 	75 	74 	74 	74 	74 	74 	74 
TOTAL,EMP_FT,PC,SI	89 	89 	90 	89 	89 	90 	90 	90 
TOTAL,EMP_FT,PC,SK	95 	94 	94 	94 	95 	95 	96 	96 
TOTAL,EMP_FT,PC,TR	89 	90 	90 	89 	88 b	88 	88 b	88 
TOTAL,EMP_FT,PC,UK	74 	74 	73 	73 	73 	73 	73 	73 
TOTAL,EMP_JOB1,PC,AT	96 	95 	95 	96 	96 	96 	96 	96 
TOTAL,EMP_JOB1,PC,BE	96 b	96 b	96 	96 	96 	96 	96 b	96 
TOTAL,EMP_JOB1,PC,BG	100 	100 	100 	100 	99 	100 	100 	100 
TOTAL,EMP_JOB1,PC,CH	92 	92 	92 	93 	93 	93 	93 	94 
TOTAL,EMP_JOB1,PC,CY	97 	97 	96 	97 b	96 	97 	97 	97 
TOTAL,EMP_JOB1,PC,CZ	97 	97 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,DE	95 	95 	95 	95 	95 	95 	95 b	96 
TOTAL,EMP_JOB1,PC,DK	93 	92 b	91 b	93 	92 	92 	92 	92 
TOTAL,EMP_JOB1,PC,EE	94 	95 	95 	95 	95 	95 	95 	95 
TOTAL,EMP_JOB1,PC,EL	98 	98 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,ES	98 	98 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,EU28	96 	96 	96 	96 	96 	96 	96 	96 
TOTAL,EMP_JOB1,PC,FI	94 	94 	94 	94 	95 	95 	95 	95 
TOTAL,EMP_JOB1,PC,FR	95 	95 	95 	95 	95 b	95 b	97 	97 
TOTAL,EMP_JOB1,PC,HR	99 	99 	99 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,HU	99 	99 	99 	99 	98 	97 	98 	98 
TOTAL,EMP_JOB1,PC,IE	98 	97 b	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,IS	90 	88 	88 	89 	90 	90 	91 	91 
TOTAL,EMP_JOB1,PC,IT	99 	99 b	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,LT	95 	95 	95 	95 	94 	94 	94 	95 
TOTAL,EMP_JOB1,PC,LU	96 	96 	96 	96 b	97 	97 	97 	98 
TOTAL,EMP_JOB1,PC,LV	96 	96 	94 	95 	96 	95 	95 	96 
TOTAL,EMP_JOB1,PC,ME	99 	99 	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,MK	98 	98 	99 	99 	99 	99 	98 	98 
TOTAL,EMP_JOB1,PC,MT	97 	97 b	96 	96 	95 	95 	95 	94 
TOTAL,EMP_JOB1,PC,NL	92 	92 	92 	91 	92 	92 b	93 	93 
TOTAL,EMP_JOB1,PC,NO	91 	92 	91 	91 	91 	91 	91 	92 
TOTAL,EMP_JOB1,PC,PL	95 	95 	95 	94 	94 	93 	93 	93 
TOTAL,EMP_JOB1,PC,PT	96 	96 	96 	96 	96 	96 	95 	95 
TOTAL,EMP_JOB1,PC,RO	99 	99 	99 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,RS	93 	93 	93 	95 	95 b	97 	97 	96 
TOTAL,EMP_JOB1,PC,SE	91 	91 	91 	91 	91 	91 	92 	92 
TOTAL,EMP_JOB1,PC,SI	97 	96 	97 	97 	96 	97 	97 	97 
TOTAL,EMP_JOB1,PC,SK	99 	99 	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,TR	97 	97 	97 	97 	97 b	97 	97 b	97 
TOTAL,EMP_JOB1,PC,UK	97 	97 	96 	96 	96 	96 	96 	96 
TOTAL,I5_8,PC,AT	35 	35 	34 	33 	32 	21 	20 	20 
TOTAL,I5_8,PC,BE	47 b	46 b	44 	43 	43 	41 	41 b	40 
TOTAL,I5_8,PC,BG	32 	31 	33 	32 	32 	30 	29 	28 
TOTAL,I5_8,PC,CH	42 	41 	39 	38 	37 	36 	34 	32 
TOTAL,I5_8,PC,CY	46 	46 	46 	45 b	45 	43 	42 	40 
TOTAL,I5_8,PC,CZ	25 	25 	24 	24 	23 	22 	21 	20 
TOTAL,I5_8,PC,DE	30 	29 	29 	28 	28 	30 	29 b	29 
TOTAL,I5_8,PC,DK	37 	37 b	36 b	36 	35 	34 	34 	32 
TOTAL,I5_8,PC,EE	41 	41 	40 	40 	40 	39 	39 	38 
TOTAL,I5_8,PC,EL	37 	36 	35 	34 	34 	33 	31 	30 
TOTAL,I5_8,PC,ES	43 	43 	42 	42 	42 	41 	40 	38 
TOTAL,I5_8,PC,EU28	35 	35 	34 	33 	33 	32 	31 	30 
TOTAL,I5_8,PC,FI	45 	44 	43 	43 	42 	41 	40 	40 
TOTAL,I5_8,PC,FR	42 	40 	40 	39 	38 b	37 b	35 	34 
TOTAL,I5_8,PC,HR	30 	29 	28 	28 	27 	25 	22 	21 
TOTAL,I5_8,PC,HU	27 	26 	26 	27 	27 	27 	27 	26 
TOTAL,I5_8,PC,IE	49 	50 b	48 	49 	48 	48 	47 	45 
TOTAL,I5_8,PC,IS	39 	38 	36 	34 	33 	32 	32 	30 
TOTAL,I5_8,PC,IT	23 	22 b	21 	21 	20 	20 	19 	18 
TOTAL,I5_8,PC,LT	45 	44 	44 	44 	42 	41 	40 	40 
TOTAL,I5_8,PC,LU	48 	44 	47 	44 b	49 	45 	43 	41 
TOTAL,I5_8,PC,LV	37 	37 	37 	35 	34 	35 	34 	33 
TOTAL,I5_8,PC,ME	29 	30 	32 	31 	31 	31 	28 	26 
TOTAL,I5_8,PC,MK	25 	26 	26 	24 	22 	22 	24 	23 
TOTAL,I5_8,PC,MT	31 	29 b	27 	27 	27 	25 	24 	23 
TOTAL,I5_8,PC,NL	38 	37 	36 	36 	35 	35 b	33 	33 
TOTAL,I5_8,PC,NO	44 	44 	43 	43 	42 	39 	38 	37 
TOTAL,I5_8,PC,PL	35 	35 	34 	33 	33 	31 	30 	28 
TOTAL,I5_8,PC,PT	27 	26 	26 	25 	24 	21 	20 	19 
TOTAL,I5_8,PC,RO	21 	21 	21 	20 	18 	18 	18 	17 
TOTAL,I5_8,PC,RS	26 	25 	25 	25 	24 b	22 	23 	22 
TOTAL,I5_8,PC,SE	42 	41 	41 	39 	38 	37 	35 	34 
TOTAL,I5_8,PC,SI	35 	36 	35 	34 	32 	32 	30 	28 
TOTAL,I5_8,PC,SK	26 	25 	24 	23 	23 	22 	21 	21 
TOTAL,I5_8,PC,TR	23 	23 	22 	21 	20 b	19 	18 b	17 
TOTAL,I5_8,PC,UK	44 	43 	43 	43 	42 	41 	40 	39 
TOTAL,SAL_PERM,PC,AT	91 	91 	91 	91 	91 	91 	91 	91 
TOTAL,SAL_PERM,PC,BE	89 b	90 b	91 	91 	91 	92 	92 b	91 
TOTAL,SAL_PERM,PC,BG	96 	96 	96 	96 	95 	94 	96 	96 
TOTAL,SAL_PERM,PC,CH	87 	87 	87 	86 	87 	87 	87 	87 
TOTAL,SAL_PERM,PC,CY	86 	85 	84 	82 	81 	83 	85 	86 
TOTAL,SAL_PERM,PC,CZ	91 	90 	90 	90 	90 	90 	91 	92 
TOTAL,SAL_PERM,PC,DE	88 	87 	87 	87 	87 	87 	86 b	86 
TOTAL,SAL_PERM,PC,DK	89 	87 b	86 b	91 	92 	91 	92 	91 
TOTAL,SAL_PERM,PC,EE	97 	97 	96 	97 	97 	97 	96 	96 
TOTAL,SAL_PERM,PC,EL	89 	89 	89 	88 	88 	90 	90 	88 
TOTAL,SAL_PERM,PC,ES	73 	73 	74 	75 	76 	77 	77 	75 
TOTAL,SAL_PERM,PC,EU28	86 	86 	86 	86 	86 	86 	86 	86 
TOTAL,SAL_PERM,PC,FI	84 	84 	84 	85 	85 	85 	84 	84 
TOTAL,SAL_PERM,PC,FR	83 	83 	84 	84 	85 b	85 b	85 	85 
TOTAL,SAL_PERM,PC,HR	80 	79 	78 	80 	83 	86 	87 	87 
TOTAL,SAL_PERM,PC,HU	93 	91 	90 	89 	89 	89 	91 	91 
TOTAL,SAL_PERM,PC,IE	90 	91 b	91 	90 	90 	89 	89 	89 
TOTAL,SAL_PERM,PC,IS	91 	89 	88 	87 	87 	86 	87 	88 
TOTAL,SAL_PERM,PC,IT	83 	85 b	86 	86 	86 	87 	86 	87 
TOTAL,SAL_PERM,PC,LT	98 	98 	98 	98 	97 	97 	97 	97 
TOTAL,SAL_PERM,PC,LU	90 	91 	91 	90 b	92 	93 	92 	93 
TOTAL,SAL_PERM,PC,LV	97 	97 	96 	96 	97 	96 	95 	93 
TOTAL,SAL_PERM,PC,ME	67 	70 	66 	70 	73 	74 	78 	83 
TOTAL,SAL_PERM,PC,MK	85 	86 	86 	87 	85 	85 	86 	85 
TOTAL,SAL_PERM,PC,MT	92 	94 b	92 	92 	92 	92 	93 	93 
TOTAL,SAL_PERM,PC,NL	79 	78 	79 	80 	79 	80 b	81 	82 
TOTAL,SAL_PERM,PC,NO	92 	92 	91 	92 	92 	92 	92 	92 
TOTAL,SAL_PERM,PC,PL	76 	74 	73 	72 	72 	73 	73 	73 
TOTAL,SAL_PERM,PC,PT	78 	78 	78 	78 	79 	79 	80 	78 
TOTAL,SAL_PERM,PC,RO	99 	99 	99 	99 	99 	99 	99 	99 
TOTAL,SAL_PERM,PC,RS	77 	77 	76 	78 	81 b	84 	86 	88 
TOTAL,SAL_PERM,PC,SE	84 	83 	83 	83 	83 	83 	84 	83 
TOTAL,SAL_PERM,PC,SI	84 	82 	83 	82 	83 	84 	83 	82 
TOTAL,SAL_PERM,PC,SK	92 	90 	90 	89 	91 	93 	93 	93 
TOTAL,SAL_PERM,PC,TR	87 	87 	87 	87 	87 b	88 	88 b	88 
TOTAL,SAL_PERM,PC,UK	94 	94 	94 	94 	94 	94 	94 	94 
TOTAL,SELF,PC,AT	11 	11 	11 	11 	11 	11 	11 	11 
TOTAL,SELF,PC,BE	13 b	14 b	14 	14 	14 	14 	14 b	13 
TOTAL,SELF,PC,BG	11 	11 	11 	11 	12 	12 	11 	11 
TOTAL,SELF,PC,CH	13 	13 	13 	13 	13 	13 	13 	13 
TOTAL,SELF,PC,CY	13 	12 	13 	14 b	16 	16 	15 	16 
TOTAL,SELF,PC,CZ	17 	17 	17 	17 	17 	17 	18 	18 
TOTAL,SELF,PC,DE	10 	10 	10 	10 	11 	11 	11 b	11 
TOTAL,SELF,PC,DK	8 	8 b	8 b	8 	9 	9 	9 	9 
TOTAL,SELF,PC,EE	11 	10 	9 	9 	9 	9 	9 	9 
TOTAL,SELF,PC,EL	30 	30 	30 	31 	31 	32 	32 	31 
TOTAL,SELF,PC,ES	16 	16 	17 	17 	17 	17 	17 	16 
TOTAL,SELF,PC,EU28	14 	15 	15 	15 	15 	15 	15 	15 
TOTAL,SELF,PC,FI	13 	13 	14 	14 	14 	13 	13 	13 
TOTAL,SELF,PC,FR	11 	11 	11 	11 	11 b	11 b	11 	11 
TOTAL,SELF,PC,HR	11 	11 	13 	14 	14 	17 	17 	19 
TOTAL,SELF,PC,HU	10 	10 	10 	11 	11 	11 	11 	12 
TOTAL,SELF,PC,IE	15 	15 b	15 	16 	16 	16 	16 	16 
TOTAL,SELF,PC,IS	12 	12 	12 	12 	13 	13 	12 	12 
TOTAL,SELF,PC,IT	22 	22 b	23 	23 	23 	23 	24 	24 
TOTAL,SELF,PC,LT	11 	11 	11 	11 	11 	11 	10 	9 
TOTAL,SELF,PC,LU	8 	9 	9 	9 b	8 	9 	8 	8 
TOTAL,SELF,PC,LV	11 	12 	12 	12 	11 	11 	11 	10 
TOTAL,SELF,PC,ME	19 	19 	19 	18 	17 	15 	16 	15 
TOTAL,SELF,PC,MK	18 	17 	18 	18 	18 	19 	18 	19 
TOTAL,SELF,PC,MT	14 	15 b	14 	14 	14 	14 	13 	14 
TOTAL,SELF,PC,NL	16 	16 	16 	16 	16 	16 b	15 	15 
TOTAL,SELF,PC,NO	6 	6 	7 	7 	7 	7 	7 	7 
TOTAL,SELF,PC,PL	18 	18 	18 	18 	18 	19 	19 	19 
TOTAL,SELF,PC,PT	16 	17 	17 	18 	19 	21 	21 	21 
TOTAL,SELF,PC,RO	17 	18 	18 	19 	21 	21 	21 	21 
TOTAL,SELF,PC,RS	23 	25 	24 	22 	23 b	25 	23 	22 
TOTAL,SELF,PC,SE	9 	10 	10 	10 	10 	10 	10 	10 
TOTAL,SELF,PC,SI	13 	12 	12 	13 	13 	12 	12 	13 
TOTAL,SELF,PC,SK	15 	15 	15 	15 	15 	16 	15 	16 
TOTAL,SELF,PC,TR	22 	22 	21 	21 	22 b	23 	24 b	25 
TOTAL,SELF,PC,UK	15 	15 	15 	15 	15 	14 	14 	14 
TOTAL,Y15_29,PC,AT	22 	23 	23 	23 	23 	23 	24 	24 
TOTAL,Y15_29,PC,BE	19 b	18 b	18 	19 	19 	19 	19 b	19 
TOTAL,Y15_29,PC,BG	14 	15 	15 	15 	16 	16 	17 	17 
TOTAL,Y15_29,PC,CH	22 	23 	23 	23 	23 	23 	23 	24 
TOTAL,Y15_29,PC,CY	21 	21 	21 	21 b	22 	21 	22 	22 
TOTAL,Y15_29,PC,CZ	15 	16 	16 	16 	17 	17 	17 	17 
TOTAL,Y15_29,PC,DE	19 	19 	20 	19 	20 	20 	20 b	20 
TOTAL,Y15_29,PC,DK	25 	24 b	25 b	24 	23 	23 	23 	23 
TOTAL,Y15_29,PC,EE	19 	20 	19 	20 	20 	20 	20 	21 
TOTAL,Y15_29,PC,EL	13 	13 	13 	13 	13 	13 	14 	15 
TOTAL,Y15_29,PC,ES	14 	14 	13 	13 	14 	14 	15 	17 
TOTAL,Y15_29,PC,EU28	18 	19 	19 	19 	19 	19 	19 	20 
TOTAL,Y15_29,PC,FI	21 	21 	21 	20 	21 	21 	21 	21 
TOTAL,Y15_29,PC,FR	19 	19 	19 	19 	19 b	19 b	19 	20 
TOTAL,Y15_29,PC,HR	18 	18 	18 	17 	17 	16 	17 	18 
TOTAL,Y15_29,PC,HU	17 	18 	17 	17 	17 	17 	16 	17 
TOTAL,Y15_29,PC,IE	21 	21 b	22 	21 	21 	22 	23 	24 
TOTAL,Y15_29,PC,IS	26 	26 	26 	26 	25 	26 	25 	25 
TOTAL,Y15_29,PC,IT	12 	12 b	12 	12 	12 	12 	13 	14 
TOTAL,Y15_29,PC,LT	17 	18 	18 	19 	19 	18 	18 	17 
TOTAL,Y15_29,PC,LU	20 	19 	20 	20 b	17 	17 	18 	18 
TOTAL,Y15_29,PC,LV	17 	19 	19 	20 	20 	20 	21 	20 
TOTAL,Y15_29,PC,ME	20 	21 	21 	20 	20 	20 	19 	19 
TOTAL,Y15_29,PC,MK	17 	17 	17 	18 	18 	18 	19 	19 
TOTAL,Y15_29,PC,MT	27 	27 b	27 	27 	28 	28 	28 	29 
TOTAL,Y15_29,PC,NL	26 	26 	25 	25 	25 	25 b	25 	25 
TOTAL,Y15_29,PC,NO	23 	23 	23 	23 	23 	23 	23 	23 
TOTAL,Y15_29,PC,PL	19 	19 	19 	19 	20 	20 	21 	22 
TOTAL,Y15_29,PC,PT	15 	15 	15 	14 	15 	15 	15 	17 
TOTAL,Y15_29,PC,RO	16 	17 	17 	18 	17 	17 	18 	18 
TOTAL,Y15_29,PC,RS	15 	15 	15 	15 	14 b	13 	14 	14 
TOTAL,Y15_29,PC,SE	22 	22 	22 	22 	21 	21 	21 	21 
TOTAL,Y15_29,PC,SI	16 	17 	16 	17 	16 	17 	18 	19 
TOTAL,Y15_29,PC,SK	18 	18 	18 	19 	18 	19 	19 	19 
TOTAL,Y15_29,PC,TR	27 	27 	28 	29 	29 b	29 	29 b	30 
TOTAL,Y15_29,PC,UK	23 	24 	24 	24 	23 	23 	23 	24 
