indic,unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 
TOTAL,RT1,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-4.3 	-0.4 	3.5 	-5.3 	-1.6 	-3.7 	-2.3 	-4.0 	-1.8 	-5.4 	-3.5 	3.0 	-0.6 	-3.7 	0.3 	3.4 	-0.6 	-2.4 	-0.5 	0.8 	-1.5 	-0.9 	1.7 	3.5 	-1.2 	-0.9 	1.5 	3.3 	2.8 	-0.7 	1.7 	1.2 	4.9 	-1.6 	1.2 	2.1 	3.1 	-0.7 	0.8 	0.1 	1.6 
TOTAL,RT1,SE	: 	3.3 	3.9 	2.6 	3.5 	2.9 	2.7 	0.6 	3.8 	6.1 	3.6 	-2.9 	0.3 	1.9 	-0.7 	-5.1 	2.8 	2.9 	2.7 	2.7 	1.5 	1.2 	1.5 	1.6 	0.9 	0.0 	-0.2 	-2.0 	1.2 	1.5 	1.2 	0.0 	1.5 	1.8 	1.8 	1.5 	2.9 	2.2 	3.3 	1.6 	4.2 	3.3 	3.8 	2.1 	1.3 	1.2 	2.3 	1.6 	2.7 	1.7 	1.4 	-2.9 	-0.8 	0.7 	1.0 	-0.2 	0.0 	1.4 
TOTAL,RT1,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	3.4 	4.5 	1.4 	-0.2 	1.9 	-3.2 	-6.2 	-2.0 	-1.7 	1.8 	0.4 	0.6 	-1.3 	0.2 	4.7 	-0.3 	-2.4 	-0.5 	-4.1 	1.2 	-2.6 	-3.5 	0.7 	0.8 	-5.7 	-0.1 	-1.7 	-2.6 	-1.1 	0.9 	1.4 	2.3 	-3.5 	0.0 	2.2 	1.9 	0.8 	1.8 	1.3 	4.3 	0.4 	3.7 	1.5 	3.8 	0.4 	3.1 	0.8 	1.3 
TOTAL,RT1,SK	: 	: 	: 	: 	: 	4.0 	2.6 	5.7 	8.0 	7.1 	8.5 	7.7 	6.6 	3.3 	-4.7 	-3.8 	-6.4 	-4.6 	4.7 	-4.9 	-0.6 	-0.6 	-0.7 	0.1 	0.2 	-1.5 	0.5 	-1.5 	-0.6 	-0.9 	0.7 	-2.0 	2.3 	0.3 	-0.2 	-0.1 	-0.1 	1.6 	-0.2 	2.1 	1.7 	1.9 	0.1 	1.1 	1.8 	2.8 	1.6 	1.8 	-2.4 	5.6 	2.2 	0.5 	2.9 	1.2 	-0.3 	2.8 	1.9 	3.7 
TOTAL,RT1,UK	: 	2.9 	2.4 	0.2 	0.7 	3.8 	3.1 	1.9 	1.4 	3.8 	2.8 	0.0 	-2.7 	-0.6 	-3.9 	-6.6 	-5.2 	1.3 	3.9 	2.0 	0.4 	1.9 	1.4 	-2.1 	-1.9 	0.8 	1.2 	-1.4 	-1.0 	1.8 	1.1 	-0.9 	-0.6 	2.0 	2.4 	0.6 	1.3 	3.6 	3.2 	0.2 	-0.3 	2.2 	3.3 	1.2 	1.1 	2.2 	2.0 	-0.1 	0.2 	2.2 	2.3 	-0.1 	-0.2 	1.1 	2.0 	-0.5 	-1.1 	1.0 p
TOTAL,RT4,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.7 	5.9 	6.0 	6.5 	8.2 	7.0 	7.6 	6.5 	5.7 	5.8 	6.0 	3.3 	4.4 	4.5 	0.7 	4.6 	-0.5 	4.2 	9.3 	6.4 	13.4 	9.0 	5.2 	7.0 	4.8 	4.9 	4.9 	6.5 	5.3 	3.7 	4.9 	4.9 	4.2 	6.7 
TOTAL,RT4,BE	: 	: 	: 	: 	10.1 	10.6 	9.9 	8.6 	9.0 	8.2 	7.2 	6.8 	5.3 	4.8 	4.3 	3.3 	1.0 	-1.4 	-0.5 	-0.9 	1.5 	3.4 	3.0 	4.6 	4.2 	4.2 	4.2 	3.5 	3.5 	2.6 	1.8 	1.1 	1.0 	1.2 	1.3 	1.1 	-1.4 	-0.9 	-0.9 	1.0 	0.4 p	1.9 p	2.8 p	1.5 p	3.2 p	2.2 p	2.5 p	2.6 p	4.4 p	2.9 p	3.7 p	3.6 p	2.5 	3.9 	2.5 	2.5 	3.6 	3.1 p
TOTAL,RT4,BG	: 	: 	: 	: 	15.1 e	12.2 e	14.0 e	17.4 e	22.6 e	27.1 e	30.6 e	34.6 e	31.6 e	32.2 e	26.8 e	11.7 e	-7.3 e	-20.9 e	-26.8 e	-25.7 e	-18.0 e	-9.9 	-6.4 	-5.0 	-4.8 	-5.9 	-5.5 	-5.8 	-3.7 	-1.6 	-1.0 	-1.3 	-2.3 	-2.2 	-3.1 	-1.2 	0.7 	0.5 	1.8 	2.8 	2.3 b	2.8 	2.1 	4.0 	4.6 	6.5 	8.8 	8.1 	9.0 	8.6 	9.0 	8.2 	7.1 	7.5 	6.3 	5.5 	7.3 	5.0 p
TOTAL,RT4,CY	: 	: 	: 	: 	10.3 	11.6 	12.0 	13.4 	13.0 	12.5 	12.1 	9.6 	11.3 	8.9 	3.7 	-0.9 	-5.5 	-7.1 	-7.4 	-6.2 	-6.6 	-6.9 	-5.7 	-3.6 	-2.5 	1.1 	-1.0 	-4.0 	-4.6 	-7.0 	-1.0 	0.6 	-1.7 	-1.2 	-6.4 	-6.9 	-6.2 	-1.2 	-0.3 	0.8 	-0.6 	-2.9 	-0.2 	-2.1 	-0.2 	-1.4 	-0.6 	3.3 	2.4 	3.6 	0.6 	2.5 	3.7 	1.2 	0.8 	1.6 	4.3 	8.0 p
TOTAL,RT4,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.8 	-4.4 	-6.6 	-6.8 	-4.7 	-1.3 	-0.8 	0.0 	0.2 	0.5 	0.2 	-0.8 	-1.6 	-2.0 	-1.6 	-0.7 	-0.3 	0.1 	0.2 	0.1 	1.5 	1.8 	2.8 	3.7 	3.5 	3.8 	4.1 	4.5 p	4.8 	5.7 	7.1 	10.9 p	12.8 	13.3 	12.5 	8.4 p	7.6 	8.1 	8.8 	9.9 p	9.6 	8.7 
TOTAL,RT4,DE	: 	: 	: 	: 	-1.2 	1.0 	-2.5 	1.2 	-3.8 	-2.2 	-0.9 	-1.7 	3.5 	1.7 	0.0 	0.2 	-1.2 	0.0 	1.6 	2.9 	1.5 	1.4 	1.7 	-0.5 	3.6 	3.3 	2.8 	4.2 	2.2 	2.3 	4.3 	4.9 	3.9 	4.5 	2.8 	1.5 	2.7 	2.8 	3.6 	3.4 	4.3 	4.4 	4.4 	5.8 	6.2 	7.0 	8.4 	8.4 	6.7 	5.8 	5.7 	6.2 	6.7 	6.6 	7.0 	6.2 	5.2 p	5.2 p
TOTAL,RT4,DK	: 	: 	: 	: 	29.4 	30.4 	23.5 	14.7 	7.5 	2.7 	0.9 	0.0 	-1.7 	-2.7 	-5.3 	-11.0 	-15.6 	-14.9 	-11.9 	-4.8 	2.3 	3.2 	3.2 	2.5 	0.9 	1.0 	-3.1 	-5.6 	-4.6 	-5.4 	-1.8 	1.3 	2.7 	4.8 	4.5 	3.6 	3.6 	3.9 	3.3 	4.3 	6.7 	6.2 	7.2 	7.7 	5.8 	5.0 	5.9 	4.2 	4.5 	4.7 	4.7 	4.4 	5.9 	4.6 	3.7 	3.3 	1.8 	2.9 p
TOTAL,RT4,EA	: 	: 	: 	: 	6.6 p	7.2 p	6.0 p	6.6 p	4.8 p	4.3 p	4.1 p	3.1 p	3.5 p	2.2 p	0.6 p	-1.1 p	-2.8 p	-3.6 p	-3.1 p	-1.2 p	-0.3 p	1.3 p	1.8 p	1.4 p	2.1 p	1.7 p	0.8 p	-0.2 p	-1.4 p	-2.5 p	-2.6 p	-2.1 p	-2.7 p	-2.2 p	-1.6 p	-1.8 p	-0.4 p	0.2 p	0.4 p	0.5 p	0.5 p	1.2 p	1.9 p	2.6 p	3.7 p	3.7 p	4.1 p	4.5 p	4.3 p	4.1 p	4.3 p	4.6 p	4.8 p	4.8 p	4.8 p	4.6 p	4.1 p	4.2 p
TOTAL,RT4,EE	: 	: 	: 	: 	52.3 	48.6 	50.6 	47.2 	34.4 	29.9 	17.9 	5.2 	-1.3 	-10.0 	-7.4 	-19.6 	-34.9 	-37.7 	-42.2 	-33.6 	-5.5 	2.6 	15.0 	12.9 	6.7 	8.8 	6.8 	11.8 	7.3 	7.7 	8.4 	5.8 	7.7 	8.1 	11.1 	15.6 	17.5 	14.5 	13.2 	10.1 	8.0 	10.5 	4.0 	5.1 	2.0 	1.8 	7.4 	7.7 	7.7 	4.8 	4.7 	4.9 	6.6 	7.4 	4.1 	5.7 	5.9 	5.8 
TOTAL,RT4,ES	: 	: 	: 	: 	: 	: 	: 	14.6 	13.1 	11.6 	9.2 	5.7 	2.8 	-0.3 	-2.9 	-5.2 	-7.4 	-7.6 	-6.9 	-4.4 	-3.0 	-1.0 	-1.7 	-1.4 	-3.6 	-6.2 	-8.1 	-12.7 	-14.2 	-16.0 	-16.1 	-12.7 	-12.8 	-10.6 	-6.4 	-6.3 	-1.6 	0.8 	0.3 	1.8 	1.5 	4.0 	4.5 	4.2 	6.3 	3.9 	4.0 	4.4 	5.3 	5.6 	6.7 	7.2 	6.2 	6.8 	7.2 	6.7 	6.9 	5.4 
TOTAL,RT4,EU	: 	: 	: 	: 	7.3 p	8.4 p	8.7 p	10.2 p	9.9 p	9.6 p	8.5 p	6.0 p	4.2 p	2.1 p	-0.7 p	-3.1 p	-5.3 p	-6.0 p	-4.5 p	-1.6 p	0.3 p	1.8 p	1.9 p	1.1 p	1.3 p	0.9 p	0.0 p	-0.8 p	-1.5 p	-2.2 p	-2.2 p	-1.6 p	-2.0 p	-1.5 p	-0.8 p	-0.6 p	0.8 p	1.6 p	2.0 p	2.1 p	2.0 p	2.4 p	2.9 p	3.5 p	4.5 p	4.5 p	4.7 p	4.9 p	4.6 p	4.7 p	4.7 p	4.8 p	4.9 p	4.7 p	4.7 p	4.6 p	4.1 p	4.2 p
TOTAL,RT4,EU28	: 	: 	: 	: 	8.1 p	9.1 p	9.4 p	10.9 p	9.9 p	9.7 p	8.5 p	6.0 p	4.2 p	2.1 p	-0.6 p	-3.1 p	-5.3 p	-6.0 p	-4.5 p	-1.7 p	0.2 p	1.8 p	1.8 p	1.0 p	1.3 p	0.9 p	0.0 p	-0.8 p	-1.5 p	-2.2 p	-2.2 p	-1.6 p	-2.0 p	-1.5 p	-0.8 p	-0.6 p	0.8 p	1.6 p	2.0 p	2.1 p	2.0 p	2.4 p	2.9 p	3.5 p	4.5 p	4.5 p	4.7 p	4.9 p	4.6 p	4.7 p	4.7 p	4.8 p	4.9 p	4.7 p	4.7 p	4.6 p	4.1 p	4.2 p
TOTAL,RT4,FI	: 	: 	: 	: 	8.1 p	7.5 p	6.5 p	5.8 p	6.9 p	6.3 p	5.9 p	4.5 p	3.3 p	2.4 p	0.8 p	-3.2 p	-1.9 p	-1.3 p	1.5 p	7.7 p	7.6 	6.9 	6.5 	4.3 	3.3 	4.3 	2.8 	2.3 	2.7 	1.9 	2.1 	3.0 	1.9 	1.2 	1.2 	0.3 	-0.2 	-0.2 	-0.5 	-0.5 	-0.2 	-0.3 	0.1 	0.5 	0.0 	0.8 	0.5 	0.5 	2.0 	1.7 	1.5 	1.2 	0.0 	0.8 	1.0 	1.7 	1.0 	0.8 
TOTAL,RT4,FR	: 	: 	: 	: 	13.8 	12.6 	10.9 	9.7 	8.0 	6.6 	5.7 	5.5 	4.1 	2.6 	0.6 	-3.4 	-6.5 	-8.1 	-6.9 	-3.3 	1.3 	4.8 	6.1 	7.0 	6.8 	6.8 	6.0 	3.7 	1.7 	-0.2 	-1.6 	-2.0 	-2.0 	-2.1 	-1.9 	-1.6 	-1.6 	-1.2 	-1.3 	-2.3 	-2.0 	-2.1 	-1.5 	-0.2 	0.3 	0.7 	1.4 	1.6 	2.7 	3.2 	3.3 	3.3 	2.9 	2.8 	2.9 	3.2 	2.9 	3.2 p
TOTAL,RT4,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.5 	-4.5 	-7.9 	-7.1 	-8.6 	-6.7 	-5.9 	-3.9 	-2.9 	0.0 	1.6 	2.0 	2.3 	-0.6 	-2.0 	-5.9 	-5.5 	-4.8 	-3.8 	-1.7 	-2.2 	-0.8 	-1.9 	-1.4 	-1.8 	-4.5 	-3.0 	-2.1 	0.2 	1.2 	1.5 	0.8 	-0.4 	4.3 	3.8 	7.6 	8.5 	4.5 	6.8 	4.7 	7.4 	10.4 
TOTAL,RT4,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.8 	4.7 	1.1 	-1.7 	-0.9 	-5.2 	-7.1 	-7.8 	-5.0 	-2.5 	-1.4 	-0.5 	-3.1 	-3.4 	-4.3 	-2.9 	-1.7 	-4.2 	-3.7 	-5.2 	-5.8 	-2.3 	-1.3 	-0.6 	0.9 	2.8 	4.6 	8.4 	9.2 	12.7 	15.6 	14.7 	16.9 	13.5 	11.8 	11.8 	11.7 	12.1 	12.2 	12.8 	13.4 	13.6 	14.9 	15.4 	15.3 	14.0 p
TOTAL,RT4,IE	: 	: 	: 	: 	12.8 	14.8 	17.2 	14.7 	14.6 	10.6 	4.2 	1.4 	-2.4 	-5.4 	-7.8 	-12.1 	-16.5 	-20.0 	-21.3 	-18.9 	-15.9 	-12.7 	-11.6 	-13.5 	-14.4 	-16.0 	-18.6 	-19.6 	-19.6 	-17.1 	-10.8 	-4.8 	-3.2 	-0.9 	3.5 	5.6 	10.4 	16.5 	19.2 	19.6 	17.5 	13.8 	8.7 	6.9 	7.5 	6.3 	7.5 	8.5 	9.3 	10.6 	11.8 	11.8 	12.3 	12.6 	9.1 	7.2 	4.4 	2.5 p
TOTAL,RT4,IS	: 	: 	: 	: 	27.6 	19.4 	13.5 	8.9 	5.8 	7.0 	10.3 	14.2 	14.9 	9.2 	3.8 	-1.9 	-6.8 	-11.0 	-12.5 	-8.4 	-7.7 	-2.6 	-0.2 	-1.5 	1.2 	4.1 	6.0 	7.2 	8.8 	7.6 	6.7 	4.7 	4.2 	4.8 	6.1 	7.8 	9.5 	9.1 	7.6 	7.5 	8.1 	8.0 	8.1 	8.7 	7.9 	7.3 p	10.2 p	13.6 p	16.3 	22.0 p	22.5 p	17.3 p	13.7 	8.0 p	5.8 p	6.1 p	5.3 	4.7 
TOTAL,RT4,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.3 	2.4 	1.3 	0.5 	0.6 	-2.2 	-3.7 	-4.9 	-7.1 	-6.7 	-6.3 	-5.7 	-4.3 	-5.0 	-4.7 	-4.9 	-5.7 	-4.7 	-2.7 	-2.1 	0.1 	0.7 	0.0 	0.2 	-0.7 	-0.9 	-1.5 	-1.2 	-0.5 	-0.4 	-0.8 	-0.5 	-0.9 	-0.2 p
TOTAL,RT4,LT	: 	: 	: 	: 	: 	: 	: 	: 	28.5 	32.6 	28.3 	17.7 	16.8 	16.1 	7.0 	-2.5 	-24.6 	-31.0 	-33.0 	-31.1 	-15.5 	-8.9 	-5.2 	1.4 	7.8 	6.3 	6.8 	5.6 	0.9 	-0.9 	0.3 	-1.2 	-0.1 	2.4 	-0.4 	3.0 	3.9 	6.5 	10.1 	5.3 	4.5 	3.5 	3.4 	3.3 	3.4 	3.4 	5.3 	9.5 	10.2 	10.2 	8.5 	6.9 	7.8 	7.4 	6.6 	7.4 	7.9 	6.6 
TOTAL,RT4,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	6.0 	1.5 	2.3 	0.3 	-1.9 	-2.5 	-0.4 	6.0 	3.9 	6.4 	5.4 	1.0 	4.9 	3.3 	5.4 	4.5 	4.1 	4.4 	3.8 	5.4 	4.6 	5.7 	4.2 	2.5 	4.9 	5.0 	5.1 	7.0 	5.4 	5.5 	3.7 	4.9 	5.6 	5.7 	7.8 	7.0 	6.4 	4.9 	4.2 	6.4 	5.1 	7.6 	9.2 	7.0 	11.4 
TOTAL,RT4,LV	: 	: 	: 	: 	: 	: 	: 	: 	49.6 	39.7 	36.5 	23.1 	16.7 	11.3 	-3.8 	-17.8 	-37.0 	-42.3 	-39.1 	-29.3 	-20.7 	-11.5 	-7.7 	-2.4 	10.8 	12.3 	13.0 	5.8 	2.6 	2.0 	1.3 	6.1 	4.8 	7.9 	6.5 	8.2 	10.6 	7.7 	10.7 	-4.5 	-6.5 	-4.6 	-7.9 	6.6 	7.1 	9.5 	9.6 	7.8 	9.3 	9.1 	8.8 	7.9 	11.4 	8.7 	7.2 	11.1 	6.4 	9.0 p
TOTAL,RT4,MT	: 	: 	: 	: 	10.0 	22.8 	17.0 	29.4 	29.8 	22.2 	20.5 	13.3 	16.7 	6.8 	11.8 	9.3 	-2.8 	-0.8 	-5.8 	-7.7 	-0.3 	1.5 	3.5 	-0.5 	-3.1 	-0.4 	-3.2 	1.5 	2.1 	-1.4 	5.5 	6.1 	1.0 	0.7 	-1.8 	-1.4 	1.6 	2.9 	0.3 	5.5 	2.7 	3.6 	8.6 	8.2 	5.2 	7.0 	4.8 	4.9 	5.3 	5.9 	5.0 	4.9 	5.3 	6.1 	5.5 p	6.2 p	6.6 p	6.2 p
TOTAL,RT4,NL	: 	: 	: 	: 	4.1 	4.3 	4.1 	4.5 	4.8 	4.3 	5.1 	5.2 	3.9 	3.1 	2.4 	-0.6 	-1.7 	-4.6 	-6.7 	-4.8 	-4.1 	-1.4 	-0.4 	-0.9 	-0.5 	-1.7 	-2.3 	-3.4 	-5.4 	-5.7 	-8.9 	-6.9 	-7.7 	-8.0 	-3.7 	-4.4 	-1.3 	1.3 	1.3 	2.0 	2.6 	3.0 	4.4 	4.3 	4.6 	4.5 	5.0 	6.0 	6.7 	7.5 	7.4 	8.5 	9.3 	9.2 	10.1 	9.1 	8.1 	8.3 p
TOTAL,RT4,NO	: 	: 	: 	: 	10.3 d	12.6 d	15.2 d	16.5 d	16.6 d	15.2 d	11.4 d	7.6 d	3.7 d	1.2 d	-2.2 d	-6.9 d	-5.3 d	-1.5 d	3.8 d	11.6 d	10.8 d	9.1 d	6.7 d	6.6 d	8.4 	7.2 	8.1 	9.0 	6.2 	6.9 	7.0 	6.8 	7.2 	5.0 	3.9 	1.2 	-0.3 	2.2 	3.4 	5.7 	8.1 	6.8 	6.4 	5.5 	4.6 	6.5 	8.9 	11.5 	11.7 	7.8 	2.3 	0.6 	-1.1 	0.5 	3.5 	3.5 	4.4 	4.8 
TOTAL,RT4,PL	: 	: 	: 	: 	9.4 	19.8 	48.4 	67.4 	79.6 	75.9 	44.4 	14.8 	5.1 	-0.6 	-5.5 	-1.8 	-3.1 	-4.1 	-0.3 	-3.6 	-6.0 	-4.3 	-4.6 	-0.2 	1.2 	0.7 	-0.6 	-1.0 	-2.2 	-3.5 	-3.8 	-4.4 	-5.6 	-5.2 	-3.9 	-2.8 	-0.6 	1.8 	1.3 	1.4 	2.0 	1.1 	2.0 	1.0 	0.9 	0.4 	2.1 	4.0 	3.3 	4.6 	3.7 	3.9 	6.0 	6.2 	6.5 	7.6 	8.1 	8.2 
TOTAL,RT4,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-3.3 	-2.7 	0.1 	2.3 	2.0 	1.4 	0.6 	-0.9 	-2.1 	-4.6 	-5.4 	-7.5 	-8.2 	-8.3 	-7.7 	-4.0 	-4.5 	-2.5 	-1.0 	0.6 	4.0 	5.9 	4.9 	2.2 	0.8 	2.9 	3.4 	5.0 	6.9 	6.3 	7.6 	7.6 	7.9 	8.0 	10.4 	10.5 	12.2 	11.2 	8.5 	9.3 	9.2 	10.1 
TOTAL,RT4,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-6.6 	-3.9 	-7.1 	-12.3 	-11.1 	-11.4 	-12.9 	-14.0 	-7.6 	-6.4 	-4.8 	-1.1 	-0.7 	-0.7 	0.6 	-0.1 	-2.6 	-3.5 	-2.1 	0.0 	2.7 	3.0 	3.0 	2.8 	2.6 	6.8 	7.1 	7.3 	5.1 	7.2 	6.2 	5.6 	6.6 	4.7 	5.7 	5.3 	3.3 	1.8 
TOTAL,RT4,SE	: 	: 	: 	: 	14.0 	13.5 	12.1 	9.9 	10.3 	13.8 	14.8 	10.9 	7.1 	2.9 	-1.4 	-3.7 	-1.3 	-0.4 	3.1 	11.6 	10.2 	8.4 	7.1 	6.0 	5.4 	4.1 	2.3 	-1.3 	-1.0 	0.4 	1.8 	3.8 	4.2 	4.5 	5.1 	6.8 	8.2 	8.7 	10.3 	10.4 	11.8 	13.0 	13.5 	14.1 	11.0 	8.7 	7.1 	6.5 	7.9 	8.5 	7.5 	2.8 	-0.7 	-1.7 	-2.1 	0.7 	1.5 	2.2 
TOTAL,RT4,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.8 	9.3 	7.7 	-0.2 	-7.7 	-9.4 	-12.6 	-8.1 	-1.6 	1.0 	1.4 	-0.1 	4.1 	3.2 	2.1 	1.4 	-7.1 	-5.7 	-6.0 	-8.8 	-4.3 	-4.6 	-7.7 	-4.4 	-6.6 	-9.8 	-5.4 	-4.4 	-1.4 	3.6 	1.0 	0.1 	0.8 	0.4 	5.0 	6.9 	5.9 	8.3 	7.9 	10.0 	10.3 	9.8 	9.9 	9.1 	8.4 	5.8 
TOTAL,RT4,SK	: 	: 	: 	: 	: 	: 	: 	: 	21.9 	25.4 	32.6 	35.1 	33.3 	28.6 	13.0 	1.0 	-11.3 	-18.1 	-10.1 	-11.2 	-5.6 	-1.7 	-6.7 	-1.8 	-1.1 	-1.9 	-0.7 	-2.3 	-3.1 	-2.5 	-2.4 	-2.9 	0.0 	1.2 	0.3 	2.2 	-0.2 	1.2 	1.2 	3.4 	5.3 	5.6 	5.8 	4.8 	5.0 	5.9 	7.5 	8.3 	3.8 	6.6 	7.3 	5.8 	11.7 	7.0 	4.4 	6.8 	5.7 	8.3 
TOTAL,RT4,UK	: 	: 	: 	: 	6.4 	7.2 	7.9 	9.8 	10.6 	10.6 	10.3 	8.2 	3.8 	-0.7 	-7.2 	-13.3 	-15.5 	-13.8 	-6.8 	1.8 	7.7 	8.3 	5.7 	1.5 	-0.8 	-1.8 	-2.0 	-1.2 	-0.4 	0.6 	0.5 	0.9 	1.4 	1.6 	2.9 	4.4 	6.5 	8.1 	9.0 	8.5 	6.8 	5.3 	5.3 	6.4 	8.0 	8.0 	6.7 	5.4 	4.4 	4.5 	4.7 	4.7 	4.2 	3.1 	2.8 	2.4 	1.5 	1.4 p
